|SUL_NO   |SEQ|REV_SEQ|MAT_DESC|GONG_SEQ|GONG_CD|GONG_NM|JACK_SEQ|JACK_CD|JACK_NM   |LAYER|SEQNO|MATNR  |MATNR_NM                               |JAJE_QTY|JAJE_UNIT|WAERS|SPMON  |PRICE |PRICE_01|PRICE_02|PRICE_03|PRICE_04|PRICE_05|IN_PRICE|AMT|RMK                  |AEDAT                  |AEZET                  |REG_EMP|REG_DATE               |
|SM2500111|17 |00     |        |5       |LDS    |연피쉬스   |2       |       |종첨        |1    |1    |7615277|반도전 S/W TAPE(염수용) 0.45X380             |529     |KG       |KRW  |0      |8,750 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.163|
|SM2500111|18 |00     |        |5       |LDS    |연피쉬스   |3       |       |연피쉬스      |1    |1    |7274763|LEAD ALLOY (JUMBO) CU-TE-LS            |36,995  |KG       |KRW  |0      |3,010 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.10.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.167|
|SM2500111|19 |00     |        |6       |SHE    |쉬스     |1       |       |진공압출      |1    |1    |7640758|반도전PE EZ-3101 BK                       |4,130   |KG       |KRW  |0      |3,120 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.167|
|SM2500111|20 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |1    |7637637|LDPE_SHAPED_FILLER/BK/128/64.1×186.4   |2,596   |M        |KRW  |202,510|6,300 |6,300   |6,300   |6,300   |6,300   |6,300   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.170|
|SM2500111|21 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |2    |7637637|LDPE_SHAPED_FILLER/BK/128/64.1×186.4   |2,596   |M        |KRW  |202,510|6,300 |6,300   |6,300   |6,300   |6,300   |6,300   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.170|
|SM2500111|22 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |3    |7637637|LDPE_SHAPED_FILLER/BK/128/64.1×186.4   |2,596   |M        |KRW  |202,510|6,300 |6,300   |6,300   |6,300   |6,300   |6,300   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.173|
|SM2500111|23 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |3    |1    |1287942|CT-NJSEEXX/BRN SL48XX(48T3.80) #1      |127     |M        |KRW  |0      |2,814 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.177|
|SM2500111|24 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |3    |2    |1287943|CT-NJSEEXX/BRN SL48XX(48T3.80) #2      |127     |M        |KRW  |0      |3,218 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.180|
|SM2500111|25 |00     |        |7       |UST    |연합     |2       |       |테이핑       |1    |1    |7638257|PBT TAPE 0.19X100 BK                   |267     |KG       |KRW  |202,510|10,400|10,400  |10,400  |10,400  |10,400  |10,400  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.180|
|SM2500111|26 |00     |        |8       |SMA    |해저다중외장 |1       |       |YARN횡권    |1    |1    |7261843|PP YARN 35000DEN BK                    |1,093   |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.183|
|SM2500111|27 |00     |        |8       |SMA    |해저다중외장 |2       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |635     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.183|
|SM2500111|28 |00     |        |8       |SMA    |해저다중외장 |3       |       |테이핑       |1    |1    |7203846|PET TAPE 0.05X100                      |121     |KG       |KRW  |202,510|3,400 |3,400   |3,400   |3,400   |3,400   |3,400   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.187|
|SM2500111|29 |00     |        |8       |SMA    |해저다중외장 |4       |       |와이어외장     |1    |1    |7657930|PE 코팅 STS WIRE (ALLOY 304) 6.0-8.0     |25,622  |KG       |KRW  |0      |4,000 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.04.24|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.190|
|SM2500111|30 |00     |        |8       |SMA    |해저다중외장 |5       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |674     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.193|
|SM2500111|31 |00     |        |8       |SMA    |해저다중외장 |6       |       |YARN횡권    |1    |1    |7261843|PP YARN 35000DEN BK                    |1,173   |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.193|
|SM2500111|32 |00     |        |8       |SMA    |해저다중외장 |7       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |685     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.197|
|SM2500111|33 |00     |        |8       |SMA    |해저다중외장 |8       |       |이종YARN횡권  |1    |1    |7261843|PP YARN 35000DEN BK                    |836     |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.200|
|SM2500111|34 |00     |        |8       |SMA    |해저다중외장 |8       |       |이종YARN횡권  |2    |1    |7265247|PP YARN 35000DEN YL                    |361     |KG       |KRW  |202,510|2,580 |2,580   |2,580   |2,580   |2,580   |2,580   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.200|
|SM2500113|1  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |1    |5485300|OFC 12.5MM (국내산)                       |3,046   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.447|
|SM2500113|2  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |2    |5485300|OFC 12.5MM (국내산)                       |4,958   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.450|
|SM2500113|3  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |3    |5485300|OFC 12.5MM (국내산)                       |9,792   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.453|
|SM2500113|4  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |4    |5485300|OFC 12.5MM (국내산)                       |9,999   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.457|
|SM2500113|5  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |5    |5485300|OFC 12.5MM (국내산)                       |16,019  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.457|
|SM2500113|6  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |6    |5485300|OFC 12.5MM (국내산)                       |11,349  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.460|
|SM2500113|7  |00     |        |2       |CST    |연선     |1       |       |KEYSTONE연선|2    |1    |7201683|수밀COMPD RZ B-007                       |367     |KG       |KRW  |202,510|9,950 |9,950   |9,950   |9,950   |9,950   |9,950   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.463|
|SM2500113|8  |00     |        |2       |CST    |연선     |2       |       |테이핑       |1    |1    |7203287|반도전 양면 S/W TAPE 0.19X60                |181     |KG       |KRW  |202,510|13,900|13,900  |13,900  |13,900  |13,900  |13,900  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.463|
